Circuit_Type,No_Of_Transistors,Activity_Factor,Capacitance,Leakage_current,Short_ckt_Current,Short_ckt_Power,Static_Power,Dynamic_Power
XNOR,10,0.764,2.6413156e-07,2.0975e-08,1.065e-08,1.065e-08,2.0975e-08,1.0089826e-07
D Flip-Flop,18,0.068,4.4989182e-07,6.561e-09,8.294e-09,8.294e-09,6.561e-09,1.529632e-08
XNOR,10,0.998,6.6252239e-07,7.303e-09,2.0399e-08,2.0399e-08,7.303e-09,3.3059867e-07
XOR,10,0.755,4.4537082e-07,1.6979e-08,2.842e-09,2.842e-09,1.6979e-08,1.6812748e-07
NAND,4,0.865,7.0035251e-07,5.397e-09,1.7102e-08,1.7102e-08,5.397e-09,3.0290246e-07
NOR,4,0.655,6.3763367e-07,5.806e-09,1.0224e-08,1.0224e-08,5.806e-09,2.0882503e-07
Inverter,2,0.858,1.2350132e-07,7.701e-09,1.4735e-08,1.4735e-08,7.701e-09,5.298207e-08
Mux,16,0.121,7.8323269e-07,1.7005e-08,5.218e-09,5.218e-09,1.7005e-08,4.738558e-08
Mux,16,0.354,7.234696e-07,2.2246e-08,1.5282e-08,1.5282e-08,2.2246e-08,1.2805412e-07
Inverter,2,0.878,6.5927604e-07,1.6897e-08,1.6882e-08,1.6882e-08,1.6897e-08,2.8942218e-07
NOR,4,0.21,1.6354267e-07,2.0713e-08,1.849e-09,1.849e-09,2.0713e-08,1.717198e-08
D Flip-Flop,18,0.087,2.7531648e-07,1.3635e-08,2.0626e-08,2.0626e-08,1.3635e-08,1.197627e-08
NOR,4,0.79,3.9924526e-07,1.816e-09,2.1545e-08,2.1545e-08,1.816e-09,1.5770188e-07
NOR,4,0.837,2.8713033e-07,2.602e-09,1.682e-09,1.682e-09,2.602e-09,1.2016404e-07
NOR,4,0.171,2.3553219e-07,1.3904e-08,1.5119e-08,1.5119e-08,1.3904e-08,2.0138e-08
D Flip-Flop,18,0.856,8.0730409e-07,8.262e-09,1.4891e-08,1.4891e-08,8.262e-09,3.4552615e-07
D Flip-Flop,18,0.69,6.4184992e-07,5.592e-09,4.1e-10,4.1e-10,5.592e-09,2.2143822e-07
XOR,10,0.525,5.6981741e-07,1.171e-08,8.624e-09,8.624e-09,1.171e-08,1.4957707e-07
Inverter,2,0.832,2.3369318e-07,1.6696e-08,2.4226e-08,2.4226e-08,1.6696e-08,9.721636e-08
D Flip-Flop,18,0.425,9.188958e-07,9.686e-09,1.3931e-08,1.3931e-08,9.686e-09,1.9526536e-07
D Flip-Flop,18,0.202,1.9927121e-07,2.0083e-08,2.3337e-08,2.3337e-08,2.0083e-08,2.012639e-08
XOR,10,0.292,7.9700142e-07,1.8489e-08,1.6924e-08,1.6924e-08,1.8489e-08,1.1636221e-07
Mux,16,0.51,9.6700594e-07,1.8399e-08,8.07e-10,8.07e-10,1.8399e-08,2.4658651e-07
XOR,10,0.536,7.298218e-07,2.4631e-08,2.035e-09,2.035e-09,2.4631e-08,1.9559224e-07
OR,6,0.808,9.9293019e-07,7.451e-09,1.8082e-08,1.8082e-08,7.451e-09,4.011438e-07
OR,6,0.793,6.5454061e-07,1.6154e-08,1.3909e-08,1.3909e-08,1.6154e-08,2.5952535e-07
NAND,4,0.586,2.2528574e-07,2.1401e-08,3.266e-09,3.266e-09,2.1401e-08,6.600872e-08
NOR,4,0.783,2.117813e-07,1.453e-08,1.539e-08,1.539e-08,1.453e-08,8.291238e-08
Inverter,2,0.2,3.3131864e-07,1.9759e-08,2.0276e-08,2.0276e-08,1.9759e-08,3.313186e-08
AND,6,0.06,1.705872e-08,1.042e-08,1.8849e-08,1.8849e-08,1.042e-08,5.1176e-10
XNOR,10,0.875,6.8488149e-07,1.4803e-08,6.229e-09,6.229e-09,1.4803e-08,2.9963565e-07
XOR,10,0.085,2.7598111e-07,1.486e-09,6.529e-09,6.529e-09,1.486e-09,1.17292e-08
Mux,16,0.254,8.170314e-07,2.4646e-08,2.4199e-08,2.4199e-08,2.4646e-08,1.0376299e-07
XNOR,10,0.698,3.6558092e-07,2.002e-08,2.2196e-08,2.2196e-08,2.002e-08,1.2758774e-07
Mux,16,0.415,4.8515693e-07,2.1733e-08,8.027e-09,8.027e-09,2.1733e-08,1.0067006e-07
XNOR,10,0.878,9.6603203e-07,1.7388e-08,2.0619e-08,2.0619e-08,1.7388e-08,4.2408806e-07
XOR,10,0.305,2.497504e-07,4.733e-09,4.127e-09,4.127e-09,4.733e-09,3.808694e-08
AND,6,0.022,7.2404156e-07,8.73e-10,5.001e-09,5.001e-09,8.73e-10,7.96446e-09
XNOR,10,0.308,7.5756661e-07,2.163e-08,4.612e-09,4.612e-09,2.163e-08,1.1666526e-07
XOR,10,0.582,2.2878818e-07,9.969e-09,2.284e-09,2.284e-09,9.969e-09,6.657736e-08
D Flip-Flop,18,0.382,5.0598687e-07,6.67e-09,2.1381e-08,2.1381e-08,6.67e-09,9.664349e-08
AND,6,0.54,3.5669991e-07,1.4086e-08,1.4512e-08,1.4512e-08,1.4086e-08,9.630898e-08
Mux,16,0.878,7.7418718e-07,1.058e-08,6.548e-09,6.548e-09,1.058e-08,3.3986817e-07
OR,6,0.913,6.2625849e-07,1.6326e-08,2.1232e-08,2.1232e-08,1.6326e-08,2.85887e-07
NOR,4,0.273,4.8122322e-07,1.2146e-08,2.0086e-08,2.0086e-08,1.2146e-08,6.568697e-08
OR,6,0.468,7.8156963e-07,1.7461e-08,2.614e-09,2.614e-09,1.7461e-08,1.8288729e-07
AND,6,0.554,2.4280401e-07,2.135e-08,1.6139e-08,1.6139e-08,2.135e-08,6.725671e-08
Mux,16,0.95,7.5608566e-07,4.969e-09,1.8074e-08,1.8074e-08,4.969e-09,3.5914069e-07
XNOR,10,0.999,8.6672057e-07,8.303e-09,1.7924e-08,1.7924e-08,8.303e-09,4.3292692e-07
Mux,16,0.243,8.7983538e-07,1.0977e-08,1.8106e-08,1.8106e-08,1.0977e-08,1.069e-07
XNOR,10,0.73,7.8583686e-07,2.4055e-08,4.319e-09,4.319e-09,2.4055e-08,2.8683045e-07
XOR,10,0.384,4.1393403e-07,9.197e-09,7.946e-09,7.946e-09,9.197e-09,7.947533e-08
AND,6,0.018,9.8198994e-07,9.589e-09,2.112e-08,2.112e-08,9.589e-09,8.83791e-09
XOR,10,0.019,3.8579771e-07,1.6371e-08,2.247e-08,2.247e-08,1.6371e-08,3.66508e-09
NAND,4,0.466,6.4223915e-07,1.0538e-08,7.052e-09,7.052e-09,1.0538e-08,1.4964172e-07
XNOR,10,0.493,1.6946344e-07,2.3785e-08,6.73e-10,6.73e-10,2.3785e-08,4.177274e-08
D Flip-Flop,18,0.032,9.8064441e-07,2.2372e-08,2.1508e-08,2.1508e-08,2.2372e-08,1.569031e-08
XOR,10,0.69,7.0694606e-07,1.2884e-08,9.49e-09,9.49e-09,1.2884e-08,2.4389639e-07
NAND,4,0.301,7.5584377e-07,1.6155e-08,8.304e-09,8.304e-09,1.6155e-08,1.1375449e-07
Inverter,2,0.564,7.511894e-08,1.545e-09,8.74e-09,8.74e-09,1.545e-09,2.118354e-08
OR,6,0.308,7.6578364e-07,1.7424e-08,1.0451e-08,1.0451e-08,1.7424e-08,1.1793068e-07
Mux,16,0.175,7.7697619e-07,1.7709e-08,9.519e-09,9.519e-09,1.7709e-08,6.798542e-08
NAND,4,0.413,6.75055e-07,9.044e-09,1.4204e-08,1.4204e-08,9.044e-09,1.3939886e-07
AND,6,0.24,2.9899052e-07,5.57e-09,2.066e-09,2.066e-09,5.57e-09,3.587886e-08
XOR,10,0.539,4.9479314e-07,2.2885e-08,2.4291e-08,2.4291e-08,2.2885e-08,1.3334675e-07
AND,6,0.207,1.1933003e-07,1.0725e-08,2.3418e-08,2.3418e-08,1.0725e-08,1.235066e-08
OR,6,0.513,4.768712e-07,1.6377e-08,2.3367e-08,2.3367e-08,1.6377e-08,1.2231746e-07
D Flip-Flop,18,0.166,2.5138561e-07,9.3e-10,2.1994e-08,2.1994e-08,9.3e-10,2.086501e-08
AND,6,0.674,3.5560602e-07,1.041e-08,1.6542e-08,1.6542e-08,1.041e-08,1.1983923e-07
XNOR,10,0.756,1.709744e-07,2.045e-08,5.606e-09,5.606e-09,2.045e-08,6.462832e-08
D Flip-Flop,18,0.119,2.3775382e-07,9.751e-09,1.332e-09,1.332e-09,9.751e-09,1.414635e-08
D Flip-Flop,18,0.473,8.580296e-08,1.5119e-08,2.573e-09,2.573e-09,1.5119e-08,2.02924e-08
NAND,4,0.08,9.2070235e-07,5.325e-09,8.167e-09,8.167e-09,5.325e-09,3.682809e-08
D Flip-Flop,18,0.602,5.3510658e-07,1.0471e-08,1.2647e-08,1.2647e-08,1.0471e-08,1.6106708e-07
NOR,4,0.272,4.0277455e-07,2.3198e-08,2.4832e-08,2.4832e-08,2.3198e-08,5.477734e-08
OR,6,0.532,5.3967892e-07,1.4205e-08,1.0943e-08,1.0943e-08,1.4205e-08,1.4355459e-07
D Flip-Flop,18,0.522,6.320103e-07,2.2558e-08,1.3164e-08,1.3164e-08,2.2558e-08,1.6495469e-07
AND,6,0.925,9.2266001e-07,2.256e-08,1.7409e-08,1.7409e-08,2.256e-08,4.2673025e-07
Inverter,2,0.554,1.8690602e-07,2.3609e-08,4.6e-09,4.6e-09,2.3609e-08,5.177297e-08
NOR,4,0.587,3.0259697e-07,2.2395e-08,2.3327e-08,2.3327e-08,2.2395e-08,8.881221e-08
NOR,4,0.408,9.7603144e-07,1.82e-10,1.3273e-08,1.3273e-08,1.82e-10,1.9911041e-07
XNOR,10,0.95,3.7748106e-07,2.3357e-08,6.979e-09,6.979e-09,2.3357e-08,1.793035e-07
D Flip-Flop,18,0.779,3.233603e-08,3.523e-09,2.3384e-08,2.3384e-08,3.523e-09,1.259488e-08
XNOR,10,0.293,1.5616706e-07,1.094e-09,1.5674e-08,1.5674e-08,1.094e-09,2.287847e-08
XNOR,10,0.846,3.607531e-08,1.479e-09,1.2144e-08,1.2144e-08,1.479e-09,1.525986e-08
Inverter,2,0.438,9.9002391e-07,8.788e-09,1.4546e-08,1.4546e-08,8.788e-09,2.1681524e-07
NAND,4,0.83,2.8608214e-07,1.5558e-08,1.8733e-08,1.8733e-08,1.5558e-08,1.1872409e-07
D Flip-Flop,18,0.825,9.2430733e-07,1.0118e-08,3.948e-09,3.948e-09,1.0118e-08,3.8127677e-07
XOR,10,0.197,9.9592741e-07,7.36e-10,2.1634e-08,2.1634e-08,7.36e-10,9.809885e-08
XNOR,10,0.704,6.0384281e-07,1.1964e-08,2.3992e-08,2.3992e-08,1.1964e-08,2.1255267e-07
OR,6,0.298,4.286435e-08,1.1109e-08,1.4218e-08,1.4218e-08,1.1109e-08,6.38679e-09
Mux,16,0.305,9.077571e-08,1.8946e-08,1.7089e-08,1.7089e-08,1.8946e-08,1.38433e-08
OR,6,0.303,4.8677316e-07,7.062e-09,2.151e-08,2.151e-08,7.062e-09,7.374613e-08
Inverter,2,0.728,4.1211029e-07,5.517e-09,9.433e-09,9.433e-09,5.517e-09,1.5000815e-07
Inverter,2,0.238,6.1011553e-07,6.473e-09,2.4822e-08,2.4822e-08,6.473e-09,7.260375e-08
AND,6,0.011,4.4445933e-07,7.663e-09,1.7044e-08,1.7044e-08,7.663e-09,2.44453e-09
NAND,4,0.718,9.3473608e-07,1.5019e-08,1.0658e-08,1.0658e-08,1.5019e-08,3.3557025e-07
XNOR,10,0.179,5.3939232e-07,1.1841e-08,1.6966e-08,1.6966e-08,1.1841e-08,4.827561e-08
OR,6,0.113,6.967888e-07,8.489e-09,1.309e-08,1.309e-08,8.489e-09,3.936857e-08
Mux,16,0.245,8.9752042e-07,9.42e-09,2.88e-09,2.88e-09,9.42e-09,1.0994625e-07
Inverter,2,0.386,1.5540316e-07,9.336e-09,1.9917e-08,1.9917e-08,9.336e-09,2.999281e-08
Inverter,2,0.481,2.3743731e-07,2.4313e-08,1.4153e-08,1.4153e-08,2.4313e-08,5.710367e-08
NAND,4,0.054,1.1624547e-07,5.902e-09,1.9917e-08,1.9917e-08,5.902e-09,3.13863e-09
Mux,16,0.971,1.4824202e-07,2.047e-08,3.957e-09,3.957e-09,2.047e-08,7.19715e-08
Mux,16,0.719,5.1745813e-07,1.7734e-08,1.3505e-08,1.3505e-08,1.7734e-08,1.860262e-07
NAND,4,0.33,3.2796747e-07,2.39e-10,1.9189e-08,1.9189e-08,2.39e-10,5.411463e-08
Inverter,2,0.326,4.2894111e-07,2.483e-08,2.4709e-08,2.4709e-08,2.483e-08,6.99174e-08
D Flip-Flop,18,0.454,9.8266493e-07,1.8935e-08,2.2121e-08,2.2121e-08,1.8935e-08,2.2306494e-07
D Flip-Flop,18,0.63,1.651373e-07,1.7093e-08,2.1622e-08,2.1622e-08,1.7093e-08,5.201825e-08
NAND,4,0.155,5.4540395e-07,1.0193e-08,6.262e-09,6.262e-09,1.0193e-08,4.226881e-08
Mux,16,0.197,1.0788244e-07,1.3925e-08,2.0966e-08,2.0966e-08,1.3925e-08,1.062642e-08
XNOR,10,0.861,3.2531135e-07,6.406e-09,4.315e-09,4.315e-09,6.406e-09,1.4004654e-07
NAND,4,0.264,5.3225066e-07,9.84e-10,5.033e-09,5.033e-09,9.84e-10,7.025709e-08
NAND,4,0.386,9.4716543e-07,2.0917e-08,2.842e-09,2.842e-09,2.0917e-08,1.8280293e-07
NOR,4,0.873,3.9731594e-07,2.2422e-08,2.1454e-08,2.1454e-08,2.2422e-08,1.7342841e-07
OR,6,0.667,7.425763e-08,4.146e-09,2.796e-09,2.796e-09,4.146e-09,2.476492e-08
Mux,16,0.348,3.9427983e-07,1.9698e-08,3.539e-09,3.539e-09,1.9698e-08,6.860469e-08
AND,6,0.687,1.5428376e-07,1.8555e-08,6.223e-09,6.223e-09,1.8555e-08,5.299647e-08
AND,6,0.029,2.3768972e-07,4.542e-09,1.4359e-08,1.4359e-08,4.542e-09,3.4465e-09
Mux,16,0.738,6.2190972e-07,1.0604e-08,2.2016e-08,2.2016e-08,1.0604e-08,2.2948469e-07
NOR,4,0.492,7.674963e-08,1.0627e-08,1.0514e-08,1.0514e-08,1.0627e-08,1.888041e-08
NOR,4,0.815,4.7007652e-07,1.9023e-08,1.3703e-08,1.3703e-08,1.9023e-08,1.9155618e-07
Inverter,2,0.955,6.1336697e-07,2.0958e-08,4.246e-09,4.246e-09,2.0958e-08,2.9288273e-07
OR,6,0.927,4.2763981e-07,2.46e-09,6.722e-09,6.722e-09,2.46e-09,1.9821105e-07
D Flip-Flop,18,0.91,2.893509e-08,1.4118e-08,3.435e-09,3.435e-09,1.4118e-08,1.316547e-08
XOR,10,0.517,9.8566416e-07,1.9068e-08,1.0307e-08,1.0307e-08,1.9068e-08,2.5479419e-07
XOR,10,0.367,3.7344461e-07,1.9676e-08,1.4799e-08,1.4799e-08,1.9676e-08,6.852709e-08
XOR,10,0.47,7.8079142e-07,3.785e-09,7.172e-09,7.172e-09,3.785e-09,1.8348598e-07
Mux,16,0.693,3.3239003e-07,1.3185e-08,2.1165e-08,2.1165e-08,1.3185e-08,1.1517315e-07
AND,6,0.885,4.8026659e-07,2.1453e-08,2.4533e-08,2.4533e-08,2.1453e-08,2.1251797e-07
AND,6,0.215,3.9457901e-07,8.031e-09,3.092e-09,3.092e-09,8.031e-09,4.241724e-08
D Flip-Flop,18,0.919,3.4911384e-07,1.0685e-08,5.45e-10,5.45e-10,1.0685e-08,1.6041781e-07
Mux,16,0.817,3.163286e-08,2.0129e-08,1.9765e-08,1.9765e-08,2.0129e-08,1.292202e-08
XOR,10,0.979,3.6642073e-07,2.324e-09,4.847e-09,4.847e-09,2.324e-09,1.7936295e-07
XNOR,10,0.881,8.9059509e-07,2.1501e-08,8.893e-09,8.893e-09,2.1501e-08,3.9230714e-07
AND,6,0.287,6.9348941e-07,7.848e-09,9.916e-09,9.916e-09,7.848e-09,9.951573e-08
Inverter,2,0.115,1.5396863e-07,1.36e-10,2.2923e-08,2.2923e-08,1.36e-10,8.8532e-09
NAND,4,0.121,5.9524345e-07,5.931e-09,1.6505e-08,1.6505e-08,5.931e-09,3.601223e-08
XNOR,10,0.298,8.9330855e-07,2.329e-09,1.111e-09,1.111e-09,2.329e-09,1.3310297e-07
AND,6,0.618,7.030337e-07,2.4e-09,4.69e-10,4.69e-10,2.4e-09,2.1723741e-07
NOR,4,0.806,1.5719755e-07,1.7352e-08,5.069e-09,5.069e-09,1.7352e-08,6.335061e-08
AND,6,0.9,8.6915417e-07,5.428e-09,8.022e-09,8.022e-09,5.428e-09,3.9111938e-07
Inverter,2,0.628,3.0852857e-07,2.3375e-08,1.2165e-08,1.2165e-08,2.3375e-08,9.687797e-08
XOR,10,0.016,4.5953538e-07,1.2959e-08,2.0962e-08,2.0962e-08,1.2959e-08,3.67628e-09
NOR,4,0.194,5.3088133e-07,1.1556e-08,7.939e-09,7.939e-09,1.1556e-08,5.149549e-08
Mux,16,0.109,8.5200154e-07,1.0914e-08,9.476e-09,9.476e-09,1.0914e-08,4.643408e-08
OR,6,0.37,9.3229142e-07,1.7345e-08,8.301e-09,8.301e-09,1.7345e-08,1.7247391e-07
XOR,10,0.506,9.3035635e-07,1.1361e-08,3.23e-10,3.23e-10,1.1361e-08,2.3538016e-07
OR,6,0.053,1.787464e-08,3.302e-09,2.3885e-08,2.3885e-08,3.302e-09,4.7368e-10
XNOR,10,0.355,9.226696e-07,2.2016e-08,3.561e-09,3.561e-09,2.2016e-08,1.6377385e-07
NAND,4,0.187,6.38431e-08,1.0767e-08,7.263e-09,7.263e-09,1.0767e-08,5.96933e-09
NOR,4,0.651,2.7311592e-07,1.943e-09,3.32e-09,3.32e-09,1.943e-09,8.889923e-08
D Flip-Flop,18,0.47,5.1983798e-07,1.3281e-08,1.2315e-08,1.2315e-08,1.3281e-08,1.2216193e-07
NOR,4,0.5,4.8512643e-07,1.6219e-08,2.3311e-08,2.3311e-08,1.6219e-08,1.2128161e-07
AND,6,0.433,6.086627e-07,6.962e-09,2.607e-09,2.607e-09,6.962e-09,1.3177547e-07
AND,6,0.956,4.8465177e-07,2.0028e-08,1.1078e-08,1.1078e-08,2.0028e-08,2.3166355e-07
AND,6,0.223,9.3503192e-07,1.6777e-08,6.57e-10,6.57e-10,1.6777e-08,1.0425606e-07
XNOR,10,0.521,2.4814336e-07,1.6293e-08,1.9295e-08,1.9295e-08,1.6293e-08,6.464135e-08
XOR,10,0.739,2.8128445e-07,1.0579e-08,1.6067e-08,1.6067e-08,1.0579e-08,1.039346e-07
D Flip-Flop,18,0.561,9.2153056e-07,2.4052e-08,1.7522e-08,1.7522e-08,2.4052e-08,2.5848932e-07
D Flip-Flop,18,0.93,8.597212e-08,6.927e-09,1.1861e-08,1.1861e-08,6.927e-09,3.997704e-08
AND,6,0.384,6.1346521e-07,1.4485e-08,2.27e-08,2.27e-08,1.4485e-08,1.1778532e-07
OR,6,0.469,6.8491859e-07,7.795e-09,1.0298e-08,1.0298e-08,7.795e-09,1.6061341e-07
XNOR,10,0.098,5.1048631e-07,1.8646e-08,1.2901e-08,1.2901e-08,1.8646e-08,2.501383e-08
AND,6,0.613,6.9728956e-07,1.29e-09,1.7413e-08,1.7413e-08,1.29e-09,2.1371925e-07
NAND,4,0.295,1.810271e-07,1.243e-09,1.3062e-08,1.3062e-08,1.243e-09,2.67015e-08
XOR,10,0.169,8.5410591e-07,2.029e-08,4.814e-09,4.814e-09,2.029e-08,7.217195e-08
Mux,16,0.549,1.4862543e-07,1.0913e-08,7.995e-09,7.995e-09,1.0913e-08,4.079768e-08
NAND,4,0.537,4.0680432e-07,8.595e-09,2.398e-09,2.398e-09,8.595e-09,1.0922696e-07
OR,6,0.085,8.450503e-08,1.5227e-08,1.0872e-08,1.0872e-08,1.5227e-08,3.59146e-09
NOR,4,0.701,5.4975897e-07,1.7577e-08,1.5274e-08,1.5274e-08,1.7577e-08,1.9269052e-07
NOR,4,0.628,6.7304835e-07,5.11e-09,3.051e-09,3.051e-09,5.11e-09,2.1133718e-07
NAND,4,0.197,9.4180942e-07,4.717e-09,1.5802e-08,1.5802e-08,4.717e-09,9.276823e-08
AND,6,0.475,7.4194283e-07,2.3958e-08,2.2333e-08,2.2333e-08,2.3958e-08,1.7621142e-07
Mux,16,0.723,5.4569189e-07,1.4783e-08,8.509e-09,8.509e-09,1.4783e-08,1.9726762e-07
Inverter,2,0.534,9.3329085e-07,9.814e-09,5.629e-09,5.629e-09,9.814e-09,2.4918866e-07
Inverter,2,0.402,4.8365247e-07,2.0056e-08,2.2336e-08,2.2336e-08,2.0056e-08,9.721415e-08
OR,6,0.329,5.655936e-07,1.3176e-08,1.7329e-08,1.7329e-08,1.3176e-08,9.304015e-08
AND,6,0.614,6.0013754e-07,6.117e-09,2.724e-09,2.724e-09,6.117e-09,1.8424222e-07
D Flip-Flop,18,0.94,4.1587993e-07,5.248e-09,1.0262e-08,1.0262e-08,5.248e-09,1.9546357e-07
D Flip-Flop,18,0.675,8.4009786e-07,9.982e-09,1.6885e-08,1.6885e-08,9.982e-09,2.8353303e-07
XOR,10,0.084,1.9332418e-07,2.1511e-08,1.4402e-08,1.4402e-08,2.1511e-08,8.11962e-09
Mux,16,0.466,5.5929377e-07,1.63e-09,1.5502e-08,1.5502e-08,1.63e-09,1.3031545e-07
Mux,16,0.892,7.2501092e-07,5.541e-09,1.4222e-08,1.4222e-08,5.541e-09,3.2335487e-07
NOR,4,0.104,9.0493641e-07,2.2339e-08,1.9972e-08,1.9972e-08,2.2339e-08,4.705669e-08
XNOR,10,0.989,8.8507921e-07,3.131e-09,8.079e-09,8.079e-09,3.131e-09,4.3767167e-07
OR,6,0.95,5.1365289e-07,1.5778e-08,1.7741e-08,1.7741e-08,1.5778e-08,2.4398512e-07
Inverter,2,0.087,6.4672984e-07,5.416e-09,2.4778e-08,2.4778e-08,5.416e-09,2.813275e-08
OR,6,0.934,4.0029536e-07,1.5186e-08,9.81e-09,9.81e-09,1.5186e-08,1.8693793e-07
D Flip-Flop,18,0.37,4.7349599e-07,9.639e-09,1.9797e-08,1.9797e-08,9.639e-09,8.759676e-08
D Flip-Flop,18,0.846,9.0720313e-07,2.632e-09,6.228e-09,6.228e-09,2.632e-09,3.8374692e-07
NAND,4,0.424,9.3139695e-07,1.4604e-08,7.119e-09,7.119e-09,1.4604e-08,1.9745615e-07
XOR,10,0.446,8.9645992e-07,1.7108e-08,2.3378e-08,2.3378e-08,1.7108e-08,1.9991056e-07
Mux,16,0.638,1.4698715e-07,1.7039e-08,7.46e-10,7.46e-10,1.7039e-08,4.68889e-08
OR,6,0.777,8.5158318e-07,1.5962e-08,5.514e-09,5.514e-09,1.5962e-08,3.3084007e-07
D Flip-Flop,18,0.043,9.4888009e-07,1.2556e-08,1.2125e-08,1.2125e-08,1.2556e-08,2.040092e-08
XNOR,10,0.597,3.676372e-07,1.3035e-08,1.0106e-08,1.0106e-08,1.3035e-08,1.097397e-07
NOR,4,0.195,5.2345983e-07,1.5927e-08,1.5766e-08,1.5766e-08,1.5927e-08,5.103733e-08
Inverter,2,0.352,7.813043e-07,1.7287e-08,4.899e-09,4.899e-09,1.7287e-08,1.3750956e-07
XOR,10,0.354,5.6645736e-07,1.6406e-08,1.857e-09,1.857e-09,1.6406e-08,1.0026295e-07
XNOR,10,0.474,9.9354869e-07,1.4715e-08,9.296e-09,9.296e-09,1.4715e-08,2.3547104e-07
XOR,10,0.341,4.6115623e-07,3.98e-09,1.3156e-08,1.3156e-08,3.98e-09,7.862714e-08
NAND,4,0.116,7.1680328e-07,5.344e-09,1.4094e-08,1.4094e-08,5.344e-09,4.157459e-08
D Flip-Flop,18,0.154,7.9466523e-07,6.58e-09,1.5077e-08,1.5077e-08,6.58e-09,6.118922e-08
NOR,4,0.043,4.9915941e-07,2.3e-08,1.3762e-08,1.3762e-08,2.3e-08,1.073193e-08
XNOR,10,0.476,8.5841397e-07,1.9009e-08,6.219e-09,6.219e-09,1.9009e-08,2.0430252e-07
XOR,10,0.955,5.5069305e-07,1.3866e-08,1.9137e-08,1.9137e-08,1.3866e-08,2.6295593e-07
Mux,16,0.125,4.1753429e-07,6.376e-09,2.286e-09,2.286e-09,6.376e-09,2.609589e-08
NAND,4,0.947,1.1674544e-07,2.861e-09,5.039e-09,5.039e-09,2.861e-09,5.527897e-08
Mux,16,0.736,3.9947944e-07,2.2479e-08,1.8511e-08,1.8511e-08,2.2479e-08,1.4700843e-07
NOR,4,0.641,7.3659709e-07,2.2327e-08,7.065e-09,7.065e-09,2.2327e-08,2.3607937e-07
XNOR,10,0.649,9.2207355e-07,2.856e-09,1.2387e-08,1.2387e-08,2.856e-09,2.9921287e-07
NAND,4,0.828,2.5916261e-07,1.9951e-08,8.247e-09,8.247e-09,1.9951e-08,1.0729332e-07
XNOR,10,0.116,3.6168316e-07,1.1221e-08,1.2724e-08,1.2724e-08,1.1221e-08,2.097762e-08
D Flip-Flop,18,0.51,1.6242138e-07,8.167e-09,8.732e-09,8.732e-09,8.167e-09,4.141745e-08
AND,6,0.7,6.9381567e-07,1.8504e-08,2.4856e-08,2.4856e-08,1.8504e-08,2.4283548e-07
NAND,4,0.591,9.6058655e-07,1.5397e-08,9.001e-09,9.001e-09,1.5397e-08,2.8385333e-07
Mux,16,0.834,6.445427e-07,1.9523e-08,1.5714e-08,1.5714e-08,1.9523e-08,2.6877431e-07
NOR,4,0.082,6.2090576e-07,1.951e-09,2.222e-08,2.222e-08,1.951e-09,2.545714e-08
D Flip-Flop,18,0.694,5.5795503e-07,8.033e-09,1.5985e-08,1.5985e-08,8.033e-09,1.936104e-07
AND,6,0.539,9.757118e-08,8.051e-09,1.419e-08,1.419e-08,8.051e-09,2.629543e-08
Inverter,2,0.385,7.3220879e-07,8.311e-09,1.4274e-08,1.4274e-08,8.311e-09,1.4095019e-07
D Flip-Flop,18,0.347,6.0602905e-07,1.2612e-08,1.2462e-08,1.2462e-08,1.2612e-08,1.0514604e-07
NOR,4,0.625,6.64862e-07,7.147e-09,2.0209e-08,2.0209e-08,7.147e-09,2.0776938e-07
XOR,10,0.892,8.9982298e-07,1.1165e-08,1.356e-09,1.356e-09,1.1165e-08,4.0132105e-07
NAND,4,0.501,7.8612118e-07,9.258e-09,2.214e-08,2.214e-08,9.258e-09,1.9692336e-07
XNOR,10,0.826,7.831061e-07,1.8409e-08,1.4699e-08,1.4699e-08,1.8409e-08,3.2342282e-07
NOR,4,0.408,9.2791193e-07,1.5127e-08,2.1237e-08,2.1237e-08,1.5127e-08,1.8929403e-07
NAND,4,0.111,9.900356e-07,1.6375e-08,3.59e-10,3.59e-10,1.6375e-08,5.494698e-08
XNOR,10,0.071,5.854699e-07,5.344e-09,2.1745e-08,2.1745e-08,5.344e-09,2.078418e-08
OR,6,0.061,1.177928e-07,8.205e-09,3.091e-09,3.091e-09,8.205e-09,3.59268e-09
Mux,16,0.386,4.6453861e-07,6.27e-10,1.8058e-08,1.8058e-08,6.27e-10,8.965595e-08
Inverter,2,0.344,7.8972513e-07,2.799e-09,1.0471e-08,1.0471e-08,2.799e-09,1.3583272e-07
D Flip-Flop,18,0.721,3.744807e-08,6.7e-09,1.7059e-08,1.7059e-08,6.7e-09,1.350003e-08
NOR,4,0.745,6.631856e-08,1.73e-09,1.5742e-08,1.5742e-08,1.73e-09,2.470366e-08
Inverter,2,0.06,7.64862e-08,1.5106e-08,4.169e-09,4.169e-09,1.5106e-08,2.29459e-09
XOR,10,0.229,7.337254e-07,2.4953e-08,1.2914e-08,1.2914e-08,2.4953e-08,8.401156e-08
NAND,4,0.282,5.0615496e-07,2.61e-09,7.003e-09,7.003e-09,2.61e-09,7.136785e-08
NAND,4,0.552,3.7520896e-07,2.0549e-08,1.4055e-08,1.4055e-08,2.0549e-08,1.0355767e-07
